code,tradeStatus,name
603032,1,德新科技
603033,1,三维股份
603035,1,常熟汽饰
603036,1,如通股份
603037,1,凯众股份
603038,1,华立股份
603039,1,泛微网络
603040,1,新坐标
603041,1,美思德
603042,1,华脉科技
603043,1,广州酒家
603045,1,福达合金
603048,1,浙江黎明
603050,1,科林电气
603051,1,鹿山新材
603052,1,可川科技
603053,1,成都燃气
603055,1,台华新材
603056,1,德邦股份
603057,1,紫燕食品
603058,1,永吉股份
603059,1,倍加洁
603060,1,国检集团
603061,1,金海通
603062,1,麦加芯彩
603063,1,禾望电气
603065,1,宿迁联盛
603066,1,音飞储存
603067,1,振华股份
603068,1,博通集成
603069,1,海汽集团
603070,1,万控智造
603071,1,物产环能
603073,1,彩蝶实业
603075,1,热威股份
603076,1,乐惠国际
603077,1,和邦生物
603078,1,江化微
603079,1,圣达生物
603080,1,新疆火炬
603081,1,大丰实业
603082,1,北自科技
603083,1,剑桥科技
603085,1,天成自控
603086,1,先达股份
603087,1,甘李药业
603088,1,宁波精达
603089,1,正裕工业
603090,1,宏盛股份
603093,1,南华期货
603095,1,越剑智能
603096,1,新经典
603097,1,江苏华辰
603098,1,森特股份
603099,1,长白山
603100,1,川仪股份
603101,1,汇嘉时代
603102,1,百合股份
603103,1,横店影视
603105,1,芯能科技
603106,1,恒银科技
603107,1,上海汽配
603108,1,润达医疗
603109,1,神驰机电
603110,1,东方材料
603111,1,康尼机电
603112,1,华翔股份
603113,1,金能科技
603115,1,海星股份
603116,1,红蜻蜓
603117,1,万林物流
603118,1,共进股份
603119,1,浙江荣泰
603121,1,华培动力
603122,1,合富中国
603123,1,翠微股份
603125,1,常青科技
603126,1,中材节能
603127,1,昭衍新药
603128,1,华贸物流
603129,1,春风动力
603130,1,云中马
603131,1,上海沪工
603132,1,金徽股份
603133,1,退市碳元
603135,1,中重科技
603136,1,天目湖
603137,1,恒尚节能
603138,1,海量数据
603139,1,康惠股份
603150,1,万朗磁塑
603151,1,邦基科技
603153,1,上海建科
603155,1,新亚强
603156,1,养元饮品
603158,1,腾龙股份
603159,1,上海亚虹
603160,1,汇顶科技
603161,1,科华控股
603162,1,海通发展
603163,1,圣晖集成
603165,1,荣晟环保
603166,1,福达股份
603167,1,渤海轮渡
603168,1,莎普爱思
603169,1,兰石重装
603170,1,宝立食品
603171,1,税友股份
603172,1,万丰股份
603173,1,福斯达
603176,1,汇通集团
603177,1,德创环保
603178,1,圣龙股份
603179,1,新泉股份
603180,1,金牌家居
603181,1,皇马科技
603182,1,嘉华股份
603183,1,建研院
603185,1,弘元绿能
603186,1,华正新材
603187,1,海容冷链
603188,1,亚邦股份
603189,1,*ST网达
603190,1,亚通精工
603191,1,望变电气
603192,1,汇得科技
603193,1,润本股份
603195,1,公牛集团
603196,1,璞源材料
603197,1,保隆科技
603198,1,迎驾贡酒
603199,1,九华旅游
603200,1,上海洗霸
603201,1,常润股份
603203,1,快克智能
603206,1,嘉环科技
603208,1,江山欧派
603209,1,兴通股份
603211,1,晋拓股份
603212,1,赛伍技术
603213,1,镇洋发展
603214,1,爱婴室
603215,1,比依股份
603216,1,梦天家居
603217,1,元利科技
603218,1,日月股份
603219,1,富佳股份
603220,1,中贝通信
603221,1,爱丽家居
603222,1,济民健康
603223,1,恒通股份
603225,1,新凤鸣
603226,1,菲林格尔
603227,1,雪峰科技
603228,1,景旺电子
603229,1,奥翔药业
603230,1,内蒙新华
603231,1,索宝蛋白
603232,1,格尔软件
603233,1,大参林
603235,1,天新药业
603236,1,移远通信
603237,1,五芳斋
603238,1,诺邦股份
603239,1,浙江仙通
603255,1,鼎际得
603256,1,宏和科技
603258,1,电魂网络
603259,1,药明康德
603260,1,合盛硅业
603261,1,*ST立航
603266,1,天龙股份
603267,1,鸿远电子
603268,1,松发股份
603269,1,海鸥股份
603270,1,金帝股份
603272,1,*ST联翔
603273,1,天元智能
603275,1,众辰科技
603276,1,恒兴新材
603277,1,银都股份
603278,1,大业股份
603279,1,景津装备
603280,1,南方路机
603281,1,江瀚新材
603282,1,亚光股份
603283,1,赛腾股份
603286,1,日盈电子
603288,1,海天味业
603289,1,泰瑞机器
603290,1,斯达半导
603291,1,联合水务
603296,1,华勤技术
603297,1,永新光学
603298,1,杭叉集团
603299,1,苏盐井神
603300,1,海南华铁
603301,1,振德医疗
603303,1,得邦照明
603305,1,旭升集团
603306,1,华懋科技
603307,1,扬州金泉
603308,1,应流股份
603309,1,维力医疗
603311,1,金海高科
603312,1,西典新能
603313,1,梦百合
603315,1,福鞍股份
603316,1,诚邦股份
603317,1,天味食品
603318,1,水发燃气
603319,1,美湖股份
603320,1,迪贝电气
603321,1,梅轮电梯
603322,1,超讯通信
603323,1,苏农银行
603324,1,盛剑科技
603325,1,博隆技术
603326,1,我乐家居
603327,1,福蓉科技
603328,1,依顿电子
603329,1,上海雅仕
603330,1,天洋新材
603331,1,百达精工
603332,1,苏州龙杰
603333,1,尚纬股份
603335,1,迪生力
603336,1,宏辉果蔬
603337,1,杰克科技
603338,1,浙江鼎力
603339,1,四方科技
603341,1,龙旗科技
603344,1,星德胜
603345,1,安井食品
